Date,Town,State/Province,Latitude,Longitude,Number,Image
5/14/2018,Golden Valley,MN,45,-93.4,1,
5/14/2018,Gowganda,ON,47.7,-80.8,1,
5/14/2018,Hickory Hills,IL,41.7,-87.8,6,
5/14/2018,Kansas City,KS,39.1,-94.6,3,
5/14/2018,Killaloe,ON,45.6,-77.6,1,
5/14/2018,Leland,MI,45,-85.8,2,
5/14/2018,Manitowoc,WI,44.1,-87.7,1,
5/14/2018,Mariapolis,MB,49.4,-99,1,
5/14/2018,Marquette,MI,46.5,-87.4,2,
5/14/2018,Mississauga,ON,43.6,-79.6,1,
5/14/2018,Morrisonville,NY,44.6,-73.6,1,
5/14/2018,Newtown,PA,40.2,-74.9,2,
5/14/2018,Park Forest,IL,41.5,-87.7,1,
5/14/2018,Port Clinton,OH,41.5,-83.1,1,
5/14/2018,Shelburne,ON,44.1,-80.1,1,
5/14/2018,Souderton,PA,40.3,-75.3,1,
5/14/2018,Sproule Township,ON,45.6,-78.4,1,
5/14/2018,Spruce Home,SK,53.4,-105.9,1,
5/14/2018,Toronto,ON,43.7,-79.3,1,
5/14/2018,Watervliet,MI,42.2,-86.3,2,
5/14/2018,Wawa,ON,47.9,-84.8,6,
5/14/2018,Wilmot,NH,43.4,-71.9,1,
5/14/2018,Yorkton,SK,51.2,-102.5,3,
5/13/2018,Albany,NY,42.7,-73.9,1,
5/13/2018,Alhambra,AB,52.4,-114.8,1,
5/13/2018,Atlantic Mine,MI,47.1,-88.7,1,
5/13/2018,Augusta,MI,42.4,-85.4,1,
5/13/2018,Baie-Comeau,QC,49.2,-68.3,1,
5/13/2018,Benedict,ND,47.8,-101.1,1,
5/13/2018,Broadview,SK,50.4,-102.6,2,
5/13/2018,Deux-Rivières,ON,46.3,-78.3,2,
5/13/2018,Framingham,MA,42.3,-71.4,1,
5/13/2018,Garden City,KS,38,-100.9,1,
5/13/2018,Groves Point,NS,46.2,-60.3,1,
5/13/2018,Ignace,ON,49.4,-91.7,1,
5/13/2018,Jackson,NJ,40.1,-74.4,2,
5/13/2018,Lac Beauport,QC,46.9,-71.3,2,
5/13/2018,Lincoln,NE,40.8,-96.7,1,
5/13/2018,Marion,IA,42.1,-91.5,2,
5/13/2018,Middle Sackville,NS,44.8,-63.7,1,
5/13/2018,Neepawa,MB,50.2,-99.4,1,
5/13/2018,Ottawa,ON,45.4,-75.8,1,
5/13/2018,Petersfield,MB,50.3,-97,1,
5/13/2018,Portage la Prairie,MB,50,-98.3,1,
5/13/2018,River Denys,NS,45.8,-61.1,1,
5/13/2018,Schiller Park,IL,42,-87.9,1,
5/13/2018,St. Catherines,PE,46.2,-63.3,1,
5/13/2018,Urbana,IL,40.1,-88.2,1,
5/13/2018,Vinita,OK,36.6,-95.1,1,
5/13/2018,Waterford Township,MI,42.7,-83.4,1,
5/13/2018,Watervliet,MI,42.2,-86.3,1,
5/13/2018,Westland,MI,42.3,-83.4,1,
5/12/2018,Albert Bridge,NS,46,-60.1,1,
5/12/2018,Annapolis Royal,NS,44.7,-65.4,1,
5/12/2018,Aumond,QC,46.5,-75.9,4,
5/12/2018,Baudette,MN,48.8,-94.7,1,
5/12/2018,Brackley,PE,46.3,-63.1,1,
5/12/2018,Brébeuf,QC,46.1,-74.7,1,
5/12/2018,Britt,MN,47.6,-92.8,1,
5/12/2018,Burlington,ON,43.4,-79.8,1,
5/12/2018,Cantley,QC,45.5,-75.8,1,
5/12/2018,Chandler,QC,48.4,-64.7,1,
5/12/2018,Chicago,IL,42,-87.7,1,
5/12/2018,Conway,NH,44,-71.1,1,
5/12/2018,Dorion,ON,48.8,-88.5,1,
5/12/2018,East Syracuse,NY,43.1,-76.1,1,
5/12/2018,Embarrass,MN,47.7,-92.2,2,
5/12/2018,Empire,MI,44.8,-86,1,
5/12/2018,Farmington,NY,43,-77.4,1,
5/12/2018,Gimli,MB,50.7,-97,1,
5/12/2018,Goulais River,ON,46.7,-84.3,1,
5/12/2018,Hancock,ME,44.5,-68.3,1,
5/12/2018,Hayward,WI,46.1,-91.1,1,
5/12/2018,Iron River,MI,46.1,-88.7,1,
5/12/2018,Iron River,WI,46.5,-91.4,1,
5/12/2018,Livonia,MI,42.4,-83.4,2,
5/12/2018,Manhattan,KS,39.2,-96.6,1,
5/12/2018,Manlius,NY,43,-76,1,
5/12/2018,Morris,MB,49.4,-97.4,1,
5/12/2018,Naperville,IL,41.8,-88.2,2,
5/12/2018,Niverville,MB,49.6,-97,2,
5/12/2018,Onalaska,WI,43.9,-91.2,1,
5/12/2018,Oxford,MS,34.4,-89.5,1,
5/12/2018,Peoria,IL,40.8,-89.6,1,
5/12/2018,Plainfield,IL,41.6,-88.2,1,
5/12/2018,Prince Edward,ON,44,-77,4,
5/12/2018,Saginaw,MI,43.5,-84,2,
5/12/2018,Saguenay,QC,48.3,-71.1,1,
5/12/2018,Saint-Joseph-de-Beauce,QC,46.3,-70.9,1,
5/12/2018,Salem,WI,42.6,-88.1,2,
5/12/2018,Stratford,PE,46.2,-63.1,1,
5/12/2018,Thief River Falls,MN,48.1,-96.4,1,
5/12/2018,West Bay,NS,45.7,-61.2,1,
5/12/2018,Windsor,ON,42.3,-82.9,1,
5/11/2018,Ajax,ON,43.8,-79,1,
5/11/2018,Allenton,WI,43.4,-88.4,1,
5/11/2018,Augusta,ME,44.3,-69.8,1,
5/11/2018,Cape May,NJ,39,-75,2,
5/11/2018,Champaign,IL,40.1,-88.3,1,
5/11/2018,Chatham-Kent,ON,42.6,-82.5,1,
5/11/2018,Clarington,ON,44,-78.6,5,
5/11/2018,Crosslake,MN,46.7,-94,,
5/11/2018,Eau Claire,WI,44.7,-91.5,2,
5/11/2018,Elliot Lake,ON,46.4,-82.7,1,
5/11/2018,Eveleth,MN,47.5,-92.5,1,
5/11/2018,Faribault,MN,44.3,-93.3,1,
5/11/2018,Feura Bush,NY,42.6,-73.9,4,
5/11/2018,Fredericton,NB,46,-66.6,1,
5/11/2018,Gaspé,QC,48.8,-64.5,1,
5/11/2018,Granger,IN,41.7,-86.2,1,
5/11/2018,Hamilton,ON,43.3,-79.9,1,
5/11/2018,Hamilton,ON,43.2,-79.7,1,
5/11/2018,Hammond,IN,41.6,-87.5,1,
5/11/2018,Holland Patent,NY,43.3,-75.2,1,
5/11/2018,Indian Lake,NY,43.8,-74.3,2,
5/11/2018,Irondequoit,NY,43.2,-77.5,2,
5/11/2018,Irondequoit,NY,43.2,-77.5,2,
5/11/2018,Kendall,NY,43.3,-78.1,3,
5/11/2018,Kenora,ON,49.9,-94.4,1,
5/11/2018,Kentville,NS,45,-64.5,1,
5/11/2018,Lincoln,ON,43.2,-79.5,3,
5/11/2018,Longbow Lake,ON,49.7,-94.3,1,
5/11/2018,Longueuil,QC,45.5,-73.5,1,
5/11/2018,Lunenburg,NS,44.4,-64.3,2,
5/11/2018,Marietta,OH,39.4,-81.5,1,
5/11/2018,Marion,IN,40.5,-85.7,2,
5/11/2018,Mechanicsburg,PA,40.2,-77,1,
5/11/2018,Merrill,WI,45.1,-89.5,1,
5/11/2018,Mina,SD,45.4,-98.7,1,
5/11/2018,Mount Pleasant,MI,43.6,-84.8,1,
5/11/2018,Mount Prospect,IL,42.1,-87.9,1,
5/11/2018,Mullica Hill,NJ,39.7,-75.2,1,
5/11/2018,Northville,MI,42.4,-83.5,1,
5/11/2018,Orchard Park,NY,42.8,-78.8,1,
5/11/2018,Palatine,IL,42.1,-88.1,2,
5/11/2018,Prince Edward,ON,44,-77.1,1,
5/11/2018,Princeton,ON,43.2,-80.5,1,
5/11/2018,Rochester,NH,43.3,-70.9,1,
5/11/2018,Saginaw,MI,43.5,-84,1,
5/11/2018,Sandwich,MA,41.8,-70.5,1,
5/11/2018,Slave Lake,AB,55.3,-114.8,1,
5/11/2018,Syracuse,NY,43,-76.2,1,
5/11/2018,Toledo,OH,41.7,-83.7,2,
5/11/2018,Toronto,ON,43.8,-79.4,2,
5/11/2018,Valparaiso,IN,41.5,-87.1,2,
5/11/2018,Voluntown,CT,41.6,-71.9,3,
5/11/2018,Waterloo,ON,43.5,-80.5,1,
5/11/2018,Wauwatosa,WI,43,-88,1,
5/11/2018,Westland,MI,42.3,-83.4,1,
5/11/2018,Wheeling,IL,42.1,-88,1,
5/11/2018,Williston,VT,44.4,-73.1,1,
5/11/2018,Winchendon,MA,42.7,-72,1,
5/11/2018,Winneconne,WI,44.1,-88.7,1,
5/10/2018,Amston,CT,41.6,-72.4,3,
5/10/2018,Athens,ON,44.6,-75.9,2,
5/10/2018,Auburn,NY,42.9,-76.6,1,
5/10/2018,Barrington,IL,42.2,-88.1,1,
5/10/2018,Beach Park,IL,42.4,-87.9,1,
5/10/2018,Beulah,MI,44.6,-86.1,1,
5/10/2018,Bracebridge,ON,45,-79.3,2,
5/10/2018,Brunswick,OH,41.2,-81.8,1,
5/10/2018,Burlington,ON,43.3,-79.8,1,
5/10/2018,Burlington,ON,43.3,-79.8,1,
5/10/2018,Canton,OH,40.8,-81.4,2,
5/10/2018,Cape May,NJ,39,-75,,
5/10/2018,Carrington,ND,47.5,-99.1,1,
5/10/2018,Cawker City,KS,39.6,-98.5,1,
5/10/2018,Chana,IL,42,-89.2,1,
5/10/2018,Charlevoix,MI,45.3,-85.3,1,
5/10/2018,Cobourg,ON,44,-78.1,1,
5/10/2018,Columbus,NE,41.4,-97.5,1,
5/10/2018,Courtice,ON,43.9,-78.8,1,
5/10/2018,Crosslake,MN,46.7,-94.2,1,
5/10/2018,Douglas,MA,42.1,-71.7,1,
5/10/2018,Douglas,NB,46,-66.7,1,
5/10/2018,Duluth,MN,46.8,-92,1,
5/10/2018,Dunham,QC,45.1,-72.8,0,
5/10/2018,Dysart,IA,42.2,-92.3,1,
5/10/2018,Elgin,IL,42,-88.3,1,
5/10/2018,Elkton,MI,43.8,-83.2,1,
5/10/2018,Elliot Lake,ON,46.4,-82.7,1,
5/10/2018,Elmore,AL,32.5,-86.3,4,
5/10/2018,Enfield,NH,43.6,-72.1,1,
5/10/2018,Feura Bush,NY,42.6,-73.9,4,
5/10/2018,Fosston,MN,47.5,-95.7,1,
5/10/2018,Gaylord,MI,45,-84.5,2,
5/10/2018,Glassboro,NJ,39.7,-75.1,2,
5/10/2018,Glendale,WI,43.2,-87.9,4,
5/10/2018,Gully,MN,47.8,-95.6,1,
5/10/2018,Halton Hills,ON,43.7,-79.9,1,
5/10/2018,Ham Lake,MN,45.3,-93.2,1,
5/10/2018,Hammond,NY,44.4,-75.8,,
5/10/2018,Hampton Bays,NY,40.9,-72.5,1,
5/10/2018,Henrietta,NY,43.1,-77.6,1,
5/10/2018,Irondequoit,NY,43.2,-77.5,1,
5/10/2018,Kawartha Lakes,ON,44.5,-78.5,1,
5/10/2018,Kawartha Lakes,ON,44.5,-78.5,1,
5/10/2018,Kenosha,WI,42.6,-87.8,2,
5/10/2018,Lincoln,ON,43.2,-79.5,3,
5/10/2018,Liverpool,NY,43.1,-76.2,1,
5/10/2018,London,ON,43,-81.2,1,
5/10/2018,Loretto,ON,44,-79.9,1,
5/10/2018,Madison,CT,41.3,-72.6,1,
5/10/2018,Marysville,OH,40.2,-83.4,1,
5/10/2018,Mashpee,MA,41.6,-70.5,1,
5/10/2018,Matachewan,ON,47.9,-80.6,1,
5/10/2018,Maynooth,ON,45.1,-78,1,
5/10/2018,Middleton,WI,43.1,-89.5,1,
5/10/2018,Minnetonka,MN,44.9,-93.5,1,
5/10/2018,Minnetonka,MN,44.9,-93.5,1,
5/10/2018,Mooresville,NC,35.6,-80.8,1,
5/10/2018,Natick,MA,42.3,-71.3,1,
5/10/2018,New Gloucester,ME,44,-70.3,2,
5/10/2018,New Hartford,CT,41.8,-73,4,
5/10/2018,New Tecumseth,ON,44.1,-79.8,0,
5/10/2018,Old Bridge Township,NJ,40.4,-74.3,2,
5/10/2018,Orillia,ON,44.6,-79.5,0,
5/10/2018,Ormond Beach,FL,29.3,-81.1,1,
5/10/2018,Ottawa,ON,45.5,-76.1,1,
5/10/2018,Owen Sound,ON,44.6,-80.9,1,
5/10/2018,Plaster Rock,NB,46.9,-67.4,1,
5/10/2018,Plattsburgh,NY,44.7,-73.5,1,
5/10/2018,Plymouth,MI,42.4,-83.5,1,
5/10/2018,Port Carling,ON,45.1,-79.6,1,
5/10/2018,Raymond,NH,43,-71.2,1,
5/10/2018,Rice Point,PE,46.1,-63.3,1,
5/10/2018,Rochester,NH,43.3,-71,1,
5/10/2018,Rosemère,QC,45.6,-73.8,1,
5/10/2018,Roxton Pond,QC,45.4,-72.7,1,
5/10/2018,Saint Joseph,MO,39.8,-94.8,4,
5/10/2018,Saint Paul,MN,44.9,-93.2,1,
5/10/2018,Sainte-Julie,QC,45.6,-73.4,2,
5/10/2018,Sioux Rapids,IA,42.9,-95.2,2,
5/10/2018,Slingerlands,NY,42.7,-73.9,1,
5/10/2018,South Park Township,PA,40.3,-80,1,
5/10/2018,Thief River Falls,MN,48.1,-96.4,1,
5/10/2018,Topsfield,MA,42.6,-70.9,1,
5/10/2018,Vita,MB,49.1,-96.6,2,
5/10/2018,Wakefield,MA,42.5,-71.1,1,
5/10/2018,Watertown,SD,44.9,-97.1,1,
5/10/2018,Waupaca,WI,44.4,-89.1,1,
5/10/2018,Wausau,WI,44.9,-89.6,1,
5/10/2018,Welland,ON,43,-79.2,1,
5/10/2018,West Chicago,IL,41.9,-88.2,1,
5/10/2018,West Lafayette,IN,40.4,-86.9,2,
5/10/2018,Western Springs,IL,41.8,-87.9,1,
5/10/2018,Weston,MA,42.4,-71.3,0,
5/10/2018,Westville,NS,45.6,-62.8,1,
5/10/2018,Williams Bay,WI,42.6,-88.5,1,
5/10/2018,Windsor,ON,42.2,-83.1,1,
5/10/2018,Woodstock,ON,43.1,-80.7,2,
5/10/2018,Woodstock,VT,43.6,-72.5,2,
5/10/2018,Worcester,MA,42.3,-71.8,1,
5/10/2018,Yardley,PA,40.2,-74.8,1,
5/9/2018,Adams,NE,40.5,-96.5,1,
5/9/2018,Alvinston,ON,42.8,-81.9,2,
5/9/2018,Ann Arbor,MI,42.3,-83.8,1,
5/9/2018,Anson,ME,44.8,-70,1,
5/9/2018,Belle Plaine,MN,44.6,-93.8,2,
5/9/2018,Burlington,VT,44.5,-73.2,1,
5/9/2018,Carnegie,PA,40.4,-80.1,2,
5/9/2018,Clinton,ME,44.7,-69.5,1,
5/9/2018,Columbus,OH,40,-83,1,
5/9/2018,Corbeil,ON,46.3,-79.3,1,
5/9/2018,Des Moines,IA,41.6,-93.6,2,
5/9/2018,Detroit Lakes,MN,46.8,-95.9,1,
5/9/2018,Frankfort,IN,40.3,-86.5,1,
5/9/2018,Howell,MI,42.6,-83.8,2,
5/9/2018,Innisfil,ON,44.3,-79.5,1,
5/9/2018,Jamestown,ND,46.9,-98.6,0,
5/9/2018,Johnston,RI,41.8,-71.5,1,
5/9/2018,Kenabeek,ON,47.6,-79.8,1,
5/9/2018,Kendall,NY,43.3,-78.1,1,
5/9/2018,Kenosha,WI,42.6,-87.8,1,
5/9/2018,Kitchener,ON,43.4,-80.4,1,
5/9/2018,Knox,IN,41.3,-86.6,2,
5/9/2018,Knox,IN,41.3,-86.6,2,
5/9/2018,Lake Park,MN,46.8,-96.1,1,
5/9/2018,Laval,QC,45.6,-73.7,1,
5/9/2018,Linesville,PA,41.6,-80.5,3,
5/9/2018,Macamic,QC,48.7,-79.2,1,
5/9/2018,Markham,ON,43.9,-79.3,3,
5/9/2018,Mayville,NY,42.3,-79.5,2,
5/9/2018,Memphis,TN,35.2,-89.8,1,
5/9/2018,Middleton,NS,44.9,-65.1,1,
5/9/2018,Milan,PA,41.9,-76.5,1,
5/9/2018,Mississauga,ON,43.6,-79.6,1,
5/9/2018,North Bay,ON,46.3,-79.5,1,
5/9/2018,Northfield,VT,44.2,-72.7,1,
5/9/2018,Notre-Dame-de-Stanbridge,QC,45.2,-73,1,
5/9/2018,Oklahoma City,OK,35.5,-97.6,1,
5/9/2018,Ottawa,ON,45.5,-76.2,1,
5/9/2018,Ottertail,MN,46.4,-95.5,1,
5/9/2018,Pittsburgh,PA,40.3,-80.1,1,
5/9/2018,Prince Edward,ON,44,-77.2,2,
5/9/2018,Prince Edward,ON,44,-77.3,1,
5/9/2018,Puposky,MN,47.9,-95,1,
5/9/2018,Reading,MA,42.5,-71.1,1,
5/9/2018,Regina,SK,50.4,-104.6,1,
5/9/2018,Roscommon,MI,44.5,-84.7,2,
5/9/2018,Shaker Heights,OH,41.5,-81.6,2,
5/9/2018,Shawano,WI,44.8,-88.6,1,
5/9/2018,Spring Bay,ON,45.8,-82.3,1,
5/9/2018,Spruce Grove,AB,53.4,-113.8,1,
5/9/2018,St. Louis,MI,43.5,-84.6,1,
5/9/2018,Stacy,MN,45.4,-93,1,
5/9/2018,Stacyville,ME,45.9,-68.4,0,
5/9/2018,Stacyville,ME,45.9,-68.4,0,
5/9/2018,Stowe,VT,44.5,-72.7,1,
5/9/2018,Toronto,ON,43.8,-79.1,1,
5/9/2018,Toronto,ON,43.8,-79.1,1,
5/9/2018,Trenton,MO,40.1,-93.6,1,
5/9/2018,Ulen,MN,47.1,-96.3,1,
5/9/2018,Vermillion,SD,42.8,-96.9,1,
5/9/2018,Vernon,NY,43.1,-75.5,1,
5/9/2018,Waconia,MN,44.8,-93.8,1,
5/9/2018,Wallace,MI,45.2,-87.7,1,
5/9/2018,Wanakena,NY,44.1,-74.9,1,
5/9/2018,Watertown,SD,44.9,-97.2,1,
5/9/2018,Watertown,SD,44.9,-97.1,2,
5/9/2018,Watsontown,PA,41.1,-76.9,1,
5/9/2018,Wayne,MI,42.3,-83.4,1,
5/9/2018,Wheeling,WV,40.1,-80.7,2,
5/9/2018,Windsor Locks,CT,41.9,-72.6,1,
5/9/2018,Woodbury,MN,44.9,-92.9,1,
5/8/2018,Albany,NY,42.6,-73.8,2,
5/8/2018,Albert Lea,MN,43.6,-93.4,2,
5/8/2018,Amity,ME,45.9,-67.8,2,
5/8/2018,Andover,KS,37.7,-97.1,1,
5/8/2018,Apsley,ON,44.8,-78,1,
5/8/2018,Arcade,NY,42.6,-78.4,1,
5/8/2018,Béarn,QC,47.3,-79.3,1,
5/8/2018,Belgrade,ME,44.4,-69.8,2,
5/8/2018,Blue Sea,QC,46.2,-76.1,1,
5/8/2018,Brampton,ON,43.7,-79.8,1,
5/8/2018,Bridport,VT,43.9,-73.4,1,
5/8/2018,Brookings,SD,44.2,-96.8,1,
5/8/2018,Bruce,SD,44.5,-96.8,2,
5/8/2018,Buffalo,NY,43,-78.8,1,
5/8/2018,Burlington,IA,40.8,-91.1,1,
5/8/2018,Burnsville,MN,44.8,-93.3,1,
5/8/2018,Canton-Tremblay,QC,48.5,-71,1,
5/8/2018,Chillicothe,OH,39.5,-83,1,
5/8/2018,Columbiaville,MI,43.2,-83.4,1,
5/8/2018,Coon Rapids,MN,45.2,-93.3,1,
5/8/2018,Dassel,MN,45,-94.3,1,
5/8/2018,Deerwood,MN,46.4,-93.9,2,
5/8/2018,Durham Bridge,NB,46.1,-66.6,1,
5/8/2018,Elkridge,MD,39.2,-76.7,1,
5/8/2018,Elliot Lake,ON,46.4,-82.7,1,
